City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,margaret river,-33.95,115.0667,18.53,91,76,2.22,AU,1736703449
1,grytviken,-54.2811,-36.5092,8.19,64,81,7.32,GS,1736703450
2,isafjordur,66.0755,-23.124,3.02,93,100,1.54,IS,1736703451
3,shimoda,34.6667,138.95,5.47,71,100,3.34,JP,1736703452
4,ilulissat,69.2167,-51.1,-31.55,98,83,2.91,GL,1736703453
5,la passe,45.5549,-0.8967,3.13,77,25,4.86,FR,1736703455
6,aasiaat,68.7098,-52.8699,-24.35,99,100,1.38,GL,1736703456
7,lewistown,40.5992,-77.5714,0.66,85,0,3.09,US,1736703269
8,mount gambier,-37.8333,140.7667,14.06,99,40,1.8,AU,1736703459
9,tazovsky,67.4667,78.7,-14.15,86,100,6.43,RU,1736703460
10,sisak,45.4661,16.3783,0.89,72,15,4.29,HR,1736703461
11,laguna de perlas,12.3429,-83.6712,27.62,75,86,3.95,NI,1736703462
12,bethel,41.3712,-73.414,2.91,59,0,4.12,US,1736703463
13,edinburgh of the seven seas,-37.0676,-12.3116,18.5,95,100,8.94,SH,1736703464
14,aykhal,66.0,111.5,-34.38,100,93,2.9,RU,1736703465
15,hinton,53.4001,-117.5857,-5.55,85,72,3.12,CA,1736703466
16,constantia,44.1833,28.65,1.38,74,100,3.96,RO,1736703468
17,chibougamau,49.9168,-74.3659,-11.21,92,100,2.57,CA,1736703239
18,ushuaia,-54.8,-68.3,8.81,81,100,17.49,AR,1736703470
19,papatowai,-46.5619,169.4708,9.06,88,81,3.29,NZ,1736703471
20,adamstown,-25.066,-130.1015,24.55,81,1,4.33,PN,1736703472
21,okha,53.5739,142.9478,-24.88,100,87,2.26,RU,1736703473
22,borger,52.9233,6.7931,0.4,88,6,1.66,NL,1736703474
23,mongo,12.1844,18.693,25.24,19,4,2.88,TD,1736703475
24,port-aux-francais,-49.35,70.2167,6.72,94,100,21.37,TF,1736703477
25,keflavik,64.0049,-22.5624,5.24,100,100,3.09,IS,1736703478
26,tonkino,57.3726,46.4629,0.09,99,100,2.07,RU,1736703479
27,ancud,-41.8697,-73.8203,15.64,78,80,5.54,CL,1736703434
28,enewetak,11.3474,162.3373,27.45,78,25,10.61,MH,1736703481
29,fort st. john,56.2499,-120.8529,-1.06,69,75,3.09,CA,1736703482
30,codrington,-38.2667,141.9667,15.5,97,72,2.16,AU,1736703483
31,georgetown,5.4112,100.3354,23.94,77,20,5.36,MY,1736703325
32,ivdel',60.6911,60.4206,-2.45,87,96,2.06,RU,1736703485
33,albany,42.6001,-73.9662,1.02,64,28,1.34,US,1736703487
34,lincheng,19.9078,109.6858,12.37,64,34,3.2,CN,1736703488
35,bilibino,68.0546,166.4372,-27.67,98,100,1.55,RU,1736703489
36,arish,31.1316,33.7984,16.1,77,0,3.6,EG,1736703490
37,punta arenas,-53.15,-70.9167,12.06,62,75,21.09,CL,1736703491
38,ribeira grande,38.5167,-28.7,19.22,88,75,6.17,PT,1736703492
39,puerto natales,-51.7236,-72.4875,10.25,66,75,10.8,CL,1736703494
40,urengoy,65.9667,78.3667,-15.13,89,100,6.49,RU,1736703495
41,kodiak,57.79,-152.4072,6.73,81,100,10.8,US,1736703496
42,vorgashor,67.5833,63.95,-9.91,95,100,4.38,RU,1736703497
43,port mathurin,-19.6833,63.4167,25.93,79,9,7.56,MU,1736703498
44,saint-joseph,-21.3667,55.6167,27.21,78,40,2.58,RE,1736703499
45,formosa do rio preto,-11.0483,-45.1931,26.02,87,100,3.42,BR,1736703500
46,guarapari,-20.6667,-40.4975,25.61,74,17,3.75,BR,1736703501
47,newman,37.3138,-121.0208,8.35,58,0,2.24,US,1736703349
48,piti village,13.4626,144.6933,26.84,81,100,5.14,GU,1736703282
49,utrik,11.2278,169.8474,26.34,77,13,10.3,MH,1736703505
50,new norfolk,-42.7826,147.0587,17.62,99,79,0.34,AU,1736703506
51,priargunsk,50.3691,119.1012,-23.53,100,100,0.68,RU,1736703507
52,opuwo,-18.0607,13.84,28.74,28,73,5.94,NA,1736703508
53,port alberni,49.2413,-124.8028,2.11,88,85,1.34,CA,1736703289
54,northam,51.0333,-4.2167,6.0,80,93,0.89,GB,1736703511
55,blackmans bay,-43.0167,147.3167,15.76,95,77,0.45,AU,1736703512
56,palmer,42.1584,-72.3287,2.94,53,0,2.06,US,1736703372
57,puerto ayora,-0.7393,-90.3518,25.31,96,57,1.34,EC,1736703514
58,hawaiian paradise park,19.5933,-154.9731,18.79,99,75,3.09,US,1736703515
59,kill devil hills,36.0307,-75.676,3.25,61,0,4.63,US,1736703516
60,ulsteinvik,62.3432,5.8487,3.5,75,88,6.41,NO,1736703518
61,yellowknife,62.456,-114.3525,-18.71,95,100,7.6,CA,1736703519
62,mossel bay,-34.1831,22.146,16.96,80,100,8.92,ZA,1736703520
63,plastun,44.7561,136.2939,-12.83,80,6,2.93,RU,1736703521
64,chanderi,24.7167,78.1333,12.58,61,0,1.91,IN,1736703522
65,waitangi,-43.9535,-176.5597,11.01,99,100,2.68,NZ,1736703524
66,luderitz,-26.6481,15.1594,20.82,66,0,12.15,NA,1736703525
67,isiklar,36.9942,40.1264,8.81,69,7,2.71,TR,1736703526
68,petropavlovsk-kamchatsky,53.0452,158.6483,-15.67,43,0,3.0,RU,1736703527
69,praia da vitoria,38.7333,-27.0667,20.14,73,20,4.76,PT,1736703529
70,lebu,-37.6167,-73.65,19.42,68,4,7.07,CL,1736703530
71,yantzaza,-3.8278,-78.7594,27.91,65,88,1.53,EC,1736703531
72,tommot,58.9564,126.2925,-23.22,99,100,0.48,RU,1736703532
73,mandan,46.8267,-100.8896,-16.47,72,0,7.72,US,1736703172
74,geraldton,-28.7667,114.6,19.23,82,20,4.12,AU,1736703534
75,mejit,10.2753,170.8646,26.7,80,18,9.81,MH,1736703535
76,carutapera,-1.195,-46.02,26.85,90,35,3.34,BR,1736703537
77,roma,43.2128,-75.4557,-0.31,83,100,0.89,US,1736703538
78,trebinje,42.7119,18.3442,7.2,23,0,12.35,BA,1736703540
79,ventspils,57.3894,21.5606,-0.04,59,0,6.17,LV,1736703541
80,sao joao da barra,-21.6403,-41.0511,27.05,76,45,6.25,BR,1736703542
81,santiago de cuba,20.0247,-75.8219,29.06,58,20,3.09,CU,1736703544
82,tutoia,-2.7619,-42.2744,28.74,70,47,4.05,BR,1736703545
83,wailua homesteads,22.0669,-159.378,22.44,73,40,7.72,US,1736703546
84,kalmunai,7.4167,81.8167,25.3,85,79,3.15,LK,1736703547
85,ciudad sabinas hidalgo,26.5,-100.1667,17.82,35,100,4.48,MX,1736703548
86,badger,64.8,-147.5333,4.85,59,0,7.72,US,1736703549
87,papao,-17.75,-149.55,25.82,83,100,11.26,PF,1736703550
88,tofol,5.3248,163.0078,28.39,71,96,9.9,FM,1736703551
89,ust-nera,64.5667,143.2,-36.96,99,94,1.93,RU,1736703553
90,west island,-12.1568,96.8225,26.99,78,20,3.6,CC,1736703554
91,saldanha,-33.0117,17.9442,22.03,79,27,10.85,ZA,1736703555
92,iqaluit,63.7506,-68.5145,-17.95,77,20,2.06,CA,1736703469
93,loch garman,52.3342,-6.4575,10.5,100,99,5.36,IE,1736703558
94,holualoa,19.6228,-155.9522,17.53,82,0,2.06,US,1736703362
95,rehoboth,-23.3167,17.0833,30.52,15,39,9.42,NA,1736703560
96,taulaga,-11.0553,-171.0883,27.1,82,100,6.26,AS,1736703561
97,san luis de la loma,17.2706,-100.8939,25.44,70,100,2.23,MX,1736703562
98,el ocotito,17.25,-99.5667,21.64,81,100,2.36,MX,1736703563
99,jamestown,42.097,-79.2353,-1.52,82,100,4.12,US,1736703564
